Rank	Russian	English
9144	одеть	dress, clothe
9145	рубец	scar, cicatrice, weal, wale, hem, seam, paunch, tripe, chitterlings
9146	перешивать	sew, alter, have altered
9147	выточка	
9148	клин	wedge, field, gore, gusset, quoin
9149	разодетый	done up
9150	старесться	
9151	заполнить	fill, pack
9152	претерпеть	suffer, undergo
9153	измазать	smear, dirty, use up
9154	блузка	blouse
9155	оводовый	
9156	приминать	crush, trample down, tread down, flatten, make flat
9157	тютюн	
9158	хлопотливо	
9159	панталончик	
9160	башмачок	
9161	расстегивать	undo, unfasten, unbutton, unhook, unclasp, unbuckle
9162	тесемочка	
9163	пухленький	chubby, plump
9164	окунать	dip, plunge
9165	голенький	
9166	брызгаться	splash, splash each other
9167	херувимчик	
9168	снытка	
9169	молочник	milk-jug, milk-can, milkman, milk-seller
9170	высушить	
9171	купать	bath, bathe, give a bath
9172	мясоед	time from Christmas to Shrovetide
9173	годок	
9174	накрутить	twist
9175	наседка	
9176	сторонний	strange, foreign
9177	навязывать	tie, fasten, press, thrust
9178	сладиться	
9179	потесниться	make room, sit, stand, closer
9180	наперегонки	competing in speed, racing one another
9181	доставаться	go to, goes to
9182	искусно	skilfully
9183	узный	
9184	отвращаться	
9185	ушибить	hurt, bruise, contuse
9186	молочный	milky, lactic
9187	переработка	processing, treatment, remaking, overtime work; recycling
9188	менять	change, exchange
9189	пеструха	
9190	белопаха	
9191	пойло	swill, mash, hog-wash, pigswill
9192	помои	slops
9193	прачкина	
9194	травяной	grassy, herbaceous, grass
9195	проса	
9196	завладевать	take possession, seize, capture
9197	перевес	preponderance
9198	отучить	break of the habit, wean
9199	сегодняшний	today, today's
9200	подраться	fight, struggle, tear
9201	оборваться	break, lose hold of and fall, become detached and fall, come away, drop off, stop suddenly, come abruptly to an end
9202	уродовать	disfigure, make look ugly, make look a fright, mutilate, maim, cripple
9203	получаться	get; Be obtained
9204	сметать	
9205	неопределеный	
9206	говорливый	talkative, garrulous, loquacious, murmuring
9207	благообразный	handsome, fine-looking
9208	подвод	admission, supply, feed
9209	перевезти	transport, convey, remove, put
9210	пухлявость	
9211	божба	swearing
9212	божески	
9213	приказ	order, command, department, office
9214	выделять	to mark out, distinguish, emphasize; to pick out, choose, single out
9215	тычинка	
9216	ракитник	broom, broom grove
9217	загиб	bend, deviation, exaggeration
9218	вытягиваться	stretch, stretch oneself, shoot up, grow, stand erect
9219	навиваться	
9220	нависать	hang, overhang, beetle, impend, threaten
9221	погодка	
9222	утенок	duckling
9223	помахивать	wave, whisk, swing, wag
9224	пеньковый	hempen
9225	меньшенький	
9226	филипповки	
9227	присмотреться	
9228	отаптывать	
9229	всовывать	stick, shove, slip
9230	перегибать	overdo, go to extreme
9231	кушак	sash, girdle
9232	ухватка	way, manner, skill, trick
9233	труха	dust, hay-dust, trash
9234	незагорелый	
9235	полезть	start to climb; reach (into)
9236	увязывать	tie up, pack up, strap, co-ordinate
9237	лисица	fox, vixen
9238	спрыгнуть	spring
9239	хоровод	round dance
9240	обоз	string of carts, wagon train, string of sledges, transport, train
9241	бабий	womanish
9242	допеть	
9243	дружно	in a friendly manner, in friendly fashion, amicably, simultaneously, together, rapidly
9244	враз	all together, simultaneously
9245	полсотни	fifty
9246	заколыхаться	
9247	развеселый	merry, gleeful
9248	парменовый	
9249	тягостный	painful, distressing, burdensome, onerous
9250	законность	lawfulness, legality
9251	приписаться	
9252	пасмурный	cloudy, dull, overcast, gloomy, sullen
9253	пожиматься	huddle up
9254	бубенец	
9255	муравка	
9256	жаться	press close, draw closer, stint, be stingy
9257	восход	rising
9258	сосредоточивать	concentrate, fix, focus
9259	лай	bark
9260	олицетворять	personify, embody
9261	умельчаюшийся	
9262	умельчаться	
9263	поголубеть	
9264	недосягаемость	inaccessibility
9265	рассудительный	reasonable, sober-minded
9266	предуведомлять	inform beforehand, give advance notice, warn
9267	приковывать	chain, rivet
9268	наиприличный	
9269	менелай	
9270	полтавский	
9271	подвергать	subject, expose
9272	трусость	cowardice
9273	потрясти	Astonish, Shock
9274	вероятный	probable, likely
9275	беспрепятственный	free, unimpeded
9276	обсудить	discuss, talk over
9277	вымышленный	hypothetical
9278	преступность	criminality, criminal nature, crime
9279	утонченность	refinement, finesse
9280	скандальный	scandalous, quarrelsome, rowdy
9281	находка	find, godsend, windfall, boon
9282	беспрепятственно	without difficulty, without hindrance, without obstruction, freely
9283	возмездие	retribution, requital, punishment
9284	нарушение	breach, violation, infringement
9285	посвящать	devote, dedicate, let, initiate, ordain, consecrate
9286	санкция	approval, sanction, sanctions
9287	иотчасти	
9288	знамя	banner, colours, colour, standard
9289	расстроивать	
9290	устроять	
9291	местоимение	pronoun
9292	уза	
9293	свыше	from above, from heaven, over, beyond
9294	сезон	season
9295	овальный	oval
9296	вызывающе	
9297	безымянный	nameless, anonymous; index, pointer
9298	брр	
9299	нарождаться	come into being, arise
9300	самообольщение	delusions about oneself, self-delusion
9301	распутать	untangle, untwine, disentangle, unravel, puzzle out
9302	возвысить	raise, elevate, ennoble
9303	вытребовать	summon, send, obtain on demand
9304	выдвигаться	move, slide in and out, move in and out, rise, rise from the ranks, be distinguished
9305	сдержанность	restraint, reserve, reticence, discretion
9306	пренебрежение	neglect, disregard, scorn, disdain
9307	экономность	economy, thrift
9308	неплодотворность	unproductivity
9309	тратиться	spend money, spend up
9310	нетвердо	not firmly, not for certain
9311	кормиться	feed, eat, live
9312	струнный	stringed, string
9313	спуск	lowering, hauling down, descent, launch, slope, sear, detent, imposition
9314	пререкание	argument, wrangle, altercation
9315	переустройство	reorganization, reconstruction
9316	процветание	prosperity, well-being, flourishing
9317	неисполнение	non-execution, non-performance, non-observance
9318	иметься	have, there is, there are
9319	безотрадный	cheerless, dismal, dreary
9320	затребовать	request, require, ask, send an order, write
9321	десятилетие	tenth anniversary, tenth birthday, decade, ten years
9322	предотвращение	prevention, averting, staving, off
9323	декабрь	December
9324	противоположно	
9325	примечание	note, comment, footnote, annotation
9326	доставление	
9327	почитать	read, honour, respect, esteem, revere, hold sacred, consider, think
9328	увидаться	
9329	флакон	bottle
9330	уборный	dress
9331	испьтывать	
9332	потихонечку	
9333	желчь	bile, gall
9334	пронзительно	shrilly, piercingly, stridently
9335	длинно	
9336	определительный	
9337	заодно	at the same time
9338	казнить	execute, put to death, punish, castifate
9339	сквозить	show, be seen through, be transparent, be threadbare
9340	вершина	top, summit, crest, peak, acme, height, apex, vertex
9341	призыв	call, appeal, slogan, levy, call to military service, call-up, conscription, selection, draft
9342	неженственный	unwomanly
9343	валяться	lie about, be scattered all over, lie, loll about, roll
9344	пачка	packet, bundle, batch, sheaf, pack, parcel, tutu
9345	заклеить	glue up, stick up
9346	бандеролька	
9347	неперегнуть	
9348	ассигнация	banknote
9349	высвободить	free, let out, disengage, disentangle, release
9350	несказанный	unspeakable, ineffable
9351	ежеминутный	occurring every minute, at intervals of a minute, continual, incessant
9352	обличение	accusation, denunciation, exposure
9353	раскладывать	lay out, spread, distribute, apportion
9354	представительница	
9355	полуоборот	half-turn
9356	проход	passage, pass, passageway, gangway, aisle
9357	родственница	relation, relative, kinsman, kinswoman, kindred, kinsfolk
9358	провинциальный	provincial
9359	отмечать	to celebrate; mark, note, mark off, mention, register
9360	гроунд	
9361	подстричь	cut, clip, trim, prune, lop
9362	прищуривать	
9363	католичный	
9364	нетерпимый	intolerant, intolerable
9365	копье	spear, lance
9366	выпутываться	pull through
9367	приписать	attribute, ascribe
9368	прохладный	fresh, cool, chilly
9369	пересуживать	
9370	бредить	be delirious, rave, be mad, be infatuated
9371	преизбыток	
9372	впрок	for future use, to advantage
9373	трюфля	
9374	бургонское	
9375	блондинка	blonde
9376	шажок	
9377	эшафодажа	
9378	стремительность	swiftness, impetuosity, dash
9379	подстроить	build on, tune, bring about by secret plotting, contrive
9380	отдергивать	jerk back, draw back quickly, withdraw
9381	пята	heel, abutment
9382	подбористый	
9383	распущенный	undisciplined, dissolute, fast
9384	неведаюший	
9385	неведать	
9386	пожирать	devour
9387	проваляться	
9388	привязчивый	affectionate, loving, captious, quarrelsome, importunate, annoying, given to pestering
9389	полуседой	
9390	контраст	contrast
9391	случаем	by any chance
9392	позлословить	
9393	уединяться	be alone, have some privacy
9394	посчитаться	
9395	бриться	shave, have a shave
9396	принудить	compel, force, constrain, coerce
9397	учеститься	
9398	итог	sum, total, result
9399	предвидеться	
9400	список	list, record
9401	поручительство	guarantee, bail
9402	ручательство	guarantee, guaranty, warrant
9403	мошенник	swindler; fraudster
9404	поставщик	supplier, provider, caterer, outfitter
9405	шорник	harness-maker, saddler, saddle-maker
9406	нераздельно	
9407	чирковый	
9408	декабрист	Decembrist
9409	полок	shelf, tray
9410	скандализировать	scandalize
9411	солгать	lie, tell lies, slander
9412	урезать	
9413	отрубить	mince / chop
9414	несуществующий	non-existent
9415	неотъемлемый	inalienable, imprescriptible
9416	кодекс	code, codex
9417	неволей	forcibly, by force
9418	сглаживаться	smooth out, become smooth
9419	выпуск	issue, output, discharge, emission, graduates, school-leavers, cut, omission, part, instalment, number
9420	соперничать	compete, rival, vie
9421	отличие	difference, distinction, merit, distinguished services
9422	однокашник	school-fellow, fellow-student
9423	мый	
9424	закручивать	twirl, twist, wind round, turn right off, turn tight, tighten
9425	побриться	shave
9426	стирка	laundry, wash, laundering
9427	покручивать	
9428	баня	banya, Russian baths, bath-house
9429	трубный	trumpet
9430	басовый	bass
9431	полька	Pole, polka
9432	аа	
9433	помещичий	Adjective of помещик
9434	бочонок	keg
9435	оффенбаховский	
9436	унтер	
9437	молодеть	look younger, grow young again
9438	возмужалый	grown-up, mature, virile, manly
9439	ветствовать	
9440	обливаться	have a shower-bath, douche oneself, sponge down
9441	струя	stream, jet, spurt, spirt, current
9442	смывание	
9443	интрига	intrigue, plot, love affair
9444	антипатия	antipathy
9445	персеверировать	
9446	преткновение	
9447	мазанковый	
9448	ивозчичий	
9449	четвероместный	
9450	лесть	flattery, cajolery
9451	зашибить	hurt, bruise, knock, drink hard
9452	мышечный	muscular
9453	августовский	Adjective of август
9454	освежать	refresh, freshen, revive, touch up
9455	обливание	douche, shower-bath, sponge-down
9456	закат	setting, sunset, decline
9457	очертание	outline, contours
9458	прорезать	cut through
9459	пейзаж	view, scenery, landscape
9460	лак	varnish, lacquer
9461	кнут	whip, knout, the lash
9462	костяной	Adjective of кость
9463	шишечка	
9464	склон	slope, hillside
9465	защекотать	torture by tickling, begin to tickle
9466	предчувствие	presentiment, foreboding, misgiving, premonition
9467	набросать	throw about, litter
9468	слу	
9469	шая	
9470	произнесение	pronouncing, utterance, delivery
9471	восторжествовать	triumph
9472	разбор	analysis, investigation, parsing, critique
9473	взор	look, gaze
9474	оградить	guard, protect, enclose, fence in
9475	отразиться	
9476	интерпретация	interpretation
9477	опротиветь	
9478	удобрить	
9479	запахать	
9480	сеялка	seeding-machine, sowing-machine
9481	забываться	doze, drop off, lose consciousness, become unconscious, be lost in reverie, forget oneself
9482	прорасти	germinate, sprout, shoot
9483	подряд	in a row; without stopping, straight
9484	семенной	seed, seminal, spermatic
9485	сеноворошилка	hay spreader, hay tedder
9486	негодиться	
9487	сило	
9488	чередоваться	alternate, take turns
9489	окормить	overfeed, poison with bad food
9490	водопой	watering, watering-place, pond, horse-pond
9491	клеверный	
9492	раздуть	fan, blow, rouse, exaggerate, swell, push, boost, blow about, flutter
9493	фатально	
9494	рыжеть	turn reddish, show reddish
9495	навес	shed, lean-to, awning
9496	прибрать	put in order, clean up, tidy, tidy up, put away
9497	обгореть	be scorched, be burnt on the edges
9498	подтирать	wipe
9499	шкафчик	
9500	ставень	shutter
9501	натоптать	
9502	коромысло	yoke, beam, rock arm, rocker
9503	словоохотливый	talkative, loquacious, garrulous
9504	картуз	beaked cap, powder bag
9505	посконный	hempen
9506	распрягать	unharness
9507	припахивать	
9508	сошник	
9509	сматывать	wind, reel off
9510	поколе	
9511	помещица	land-owning lady, lady of the manor
9512	построиться	build a house for oneself; draw up, form a military formation
9513	отцветать	fade, finish blossoming, shed its blossoms
9514	завязываться	set in, begin, start, set
9515	зацветать	blossom, break into bloom
9516	пропалывать	weed
9517	прополонный	
9518	нахвалиться	boast
9519	бабенка	wench
9520	обгрызть	gnaw round
9521	разор	
9522	свияжсков	
9523	хвалиться	boast, swagger
9524	недосмотр	oversight
9525	управиться	
9526	финоген	
9527	деготь	tar
9528	продолжительно	
9529	подливать	add
9530	благоустройство	equipping with services and utilities, improvement
9531	примериться	
9532	самостоятельный	independent, self-dependent
9533	ральный	
9534	критиковать	criticize, carp, find fault
9535	околыш	cap-band
9536	переходной	
9537	чох	
9538	духовенство	clergy, priesthood
9539	бездетный	childless
9540	вынуждать	force, compel, oblige, make
9541	допытывать	
9542	добираться	reach
9543	переворотиться	
9544	сопровождаться	be accompanied
9545	круглолицый	round-faced, chubby
9546	выпытать	
9547	трапеция	
9548	четвероугольный	
9549	плющ	ivy
9550	стараясьсмотреть	
9551	старожил	old resident, old-timer
9552	потертый	shabby, threadbare, frayed, washed-out
9553	обручальный	
9554	безыменка	
9555	непокупной	
9556	ненанять	
9557	образумиться	
9558	распутство	libertinism, debauchery, dissoluteness, dissipation
9559	переделиться	
9560	коровенка	
9561	дохнуть	die, fall, breathe
9562	наймит	hireling
9563	норовить	aim, strive
9564	напортить	
9565	отпороть	
9566	мужичка	
9567	вызволя	
9568	жнитво	
9569	тяглый	
9570	бессовестный	unscrupulous, dishonest, shameless, impudent, barefaced, brazen
9571	патриархальный	patriarchal
9572	самтреть	
9573	высидеть	
9574	реформа	reform
9575	вводиться	
9576	удел	lot, destiny, apanage, independent principality
9577	противиться	oppose, object, resist, stand up
9578	уничтожение	destruction, annihilation, extermination, abolishment, abolition
9579	опоить	
9580	оборвать	tear off, break, pluck, pick, gather, cut short, snub, dig round
9581	шинованный	
9582	сменить	change, supersede, replace, relieve, take place, exchange
9583	шкворень	
9584	тошный	tiresome, tedious, nauseous
9585	заросль	brushwood, thicket
9586	дрянный	
9587	российский	Russian; white, real Russian, comparing to nationality
9588	топчачок	
9589	расейский	
9590	тасканский	
9591	битюг	bityug, strong man
9592	сослаться	refer, allude, cite, quote, call to witness, plead, allege
9593	вознаграждение	reward, recompense, remuneration, fee, compensation
9594	высчитать	calculate, figure out, reckon
9595	увеличение	increase, augmentation, extension, expansion, magnification, enlargement
9596	выпахать	
9597	самобытно	
9598	уединенно	solitarily, in solitude
9599	тысячелетний	millennial, thousand-year
9600	кубический	cubic
9601	фут	foot
9602	круговой	circular
9603	порука	bail, guarantee
9604	уничтожиться	
9605	батрак	farm labourer, farm-hand, hired man
9606	поденный	daily, by the day
9607	фермер	farmer
9608	закидать	shower, fill, fill up, cover
9609	деличевский	
9610	лассалевский	
9611	мильгаузенский	
9612	социальный	social
9613	исключительный	exceptional
9614	провал	downfall, trap, gap, failure, flop
9615	обставленяий	
9616	ярлык	shortcut, label, tag
9617	переглядывал	
9618	предводительствовать	lead, be the leader
9619	ростовщический	usurious
9620	тихонький	
9621	слабительное	purge, purgative, laxative
9622	пиявка	leech
9623	социализм	socialism
9624	вычитание	subtraction
9625	ребеночек	
9626	подобие	likeness, similarity
9627	необразованный	uneducated
9628	омовение	ablution
9629	базис	base, basis
9630	ломить	break, charge forward, break through
9631	спрашиваться	ask permission
9632	идеальный	ideal, perfect
9633	вестись	
9634	заинтересовывать	
9635	истощать	exhaust, wear out, drain
9636	пополам	in two, half-and-half
9637	разность	difference
9638	перелаживать	
9639	пайщик	shareholder
9640	двоить	double, divide in two, plough a second time
9641	сдача	surrender, deal, change
9642	докидывать	throw so far, throw
9643	подчищать	rub out, erase, mop up
9644	непобедимый	invincible, unconquerable
9645	обобрать	pick, gather, rob, fleece
9646	желчный	bitter, bilious
9647	скоропашка	
9648	успешный	successful
9649	товарищеский	comradly, friendly, unofficial
9650	залежь	deposit, bed, unsaleable stock, fallow land
9651	пуск	starting, setting in motion, firing, launch
9652	сливочный	cream, creamy
9653	сметанный	
9654	спорый	quick, successful, profitable
9655	развяз	
9656	условленный	agreed, fixed
9657	оттянуть	draw off, delay, procrastinate
9658	разъяснять	explain, interpret
9659	резуновое	
9660	невежливость	impoliteness, incivility, bad manners, rudeness
9661	развиваечься	
9662	добросовестно	
9663	перечитывать	re-read
9664	разработать	design, develop, devise, draw up, work out
9665	отгий	
9666	заселять	populate, settle, occupy
9667	обрабатывать	work, treat, process, machine, cultivate, dress, polish, influence, persuade
9668	ов	
9669	непролазный	impassable
9670	паводок	freshet, spring flood, high water, flash flood
9671	заливаться	pour
9672	непогода	Bad weather
9673	стегать	quilt, whip, lash
9674	вымокнуть	soak, be steeped, be retted, be wet through
9675	сучок	twig, knot
9676	нерастаявший	
9677	вяз	elm
9678	обвалиться	fall, collapse, cave in, crumble
9679	слой	layer, stratum, coat
9680	ик	
9681	обсушиться	
9682	вражда	enmity, hostility, animosity
9683	доверять	entrust, commit, trust, confide, give credence
9684	застоялый	
9685	неубранный	untidy, unharvested
9686	складываться	turn-out, come together; form
9687	пописать	write, do some writing
9688	чудно	it is beautiful, wonderfully, beautifully, oddly, strangely
9689	неграмотный	illiterate, ungrammatical, ignorant, not versed, unversed, crude, inexpert
9690	особоровать	
9691	лентяй	lazy person, idler, loafer, lazy-bones, lazy ass
9692	валить	bring down; get out, leave
9693	обманываться	be deceived
9694	изнемочь	be exhausted, grow faint
9695	скелет	skeleton, framework
9696	шарф	scarf
9697	целоваться	kiss
9698	богатырь	bogatyr, Hercules, athlete
9699	сутуловость	
9700	удалить	delete, remove, dismiss; make leave, send away
9701	подавлять	suppress, repress, quell, put down, restrain, stifle, neutralize, depress, crush, overwhelm
9702	сыро	it is damp
9703	ворочаться	turn, toss and turn, move
9704	ворчать	grumble, growl, snarl
9705	мокрота	phlegm, humidity
9706	неотразимый	irresistible, irrefutable, incontrovertible, fascinating
9707	спросонок	being only half-awake
9708	скорчиться	writhe, squirm
9709	просмотреть	overlook, miss
9710	мускулистый	brawny, muscular
9711	богданыкать	
9712	скривиться	
9713	кха	
9714	мох	moss
9715	уступчивость	pliability, pliancy, compliance, tractability
9716	требовательность	exactingness
9717	придирчивость	captiousness
9718	наследственность	heredity
9719	стимул	stimulus, incentive
9720	нерусский	
9721	регулировать	regulate, adjust
9722	отрезать	cut off, snip off, snap out, cut short
9723	геометрический	geometric
9724	несомненностм	
9725	утопия	
9726	устрояться	
9727	естествоиспытательский	
9728	батрацкий	
9729	балансировать	balance
9730	оригинальничать	put on an act, have affected manners
9731	эксплуатировать	exploit, operate, run, work
9732	подразумеваться	
9733	брызнуть	spurt out
9734	посм	
9735	доживать	live so long, live, stay
9736	руководительный	
9737	горестный	sorrowful, sad, pitiful, mournful
9738	неопозорить	
9739	доступность	accessibility, availability, simplicity, approachability, affability, moderateness
9740	испанка	Spanish woman
9741	мандолина	mandolin, mandoline
9742	гемза	
9743	фазан	pheasant
9744	гарем	harem
9745	слон	elephant; bishop (chess piece)
9746	вкусить	partake, taste
9747	специально	intentionally, on purpose; specially, especially
9748	битье	
9749	цыганка	Gipsy
9750	лезть	climb, get, thrust oneself, come out, fall out, fit; pry, meddle, butt-in
9751	льстить	flatter, adulate, please
9752	чистоплотный	clean, cleanly
9753	джентльмен	gentleman
9754	неискательный	
9755	возмущать	revolt, fill with indignation, rouse the indignation, make indignant, stir up, trouble, disturb, perturb
9756	молодечество	display of courage, boldness
9757	перепутаться	
9758	узенький	tight, narrow
9759	бобер	beaver
9760	пожевать	chew, masticate
9761	обманщик	deceiver, cheat, fraud, trickster, impostor
9762	отступить	step back, recede, recoil, retreat, fall back, deviate, digress, indent
9763	привязывать	tie, bind, fasten, tether, attach
9764	несравненно	incomparably, matchlessly, peerlessly, far, by far
9765	смотреться	look at oneself, be acceptable to the eye, produce an effect, look effective
9766	афинский	Athenian
9767	ужасать	terrify, horrify, awe
9768	охлаждать	cool, cool off, chill, quench, damp
9769	любитъ	
9770	расширеть	
9771	искажать	distort, twist, misrepresent, pervert, butcher
9772	завядший	
9773	выигрывать	win, gain
9774	перый	
9775	накидываться	fall, attack
9776	нервическа	
9777	зазвенеть	ring out
9778	полузакрыть	
9779	министерский	ministerial
9780	грассировать	
9781	отсидеть	
9782	навлечь	bring, draw
9783	прогрессия	progression
9784	расплескать	spill
9785	кров	roof, shelter
9786	невеликодушный	
9787	непорядочно	
9788	лежачий	lying, recumbent, still
9789	рушиться	fall in, fall to the ground, collapse
9790	пеле	
9791	педа	
9792	рожа	mug, ugly mug, erysipelas
9793	купчиха	
9794	инкогнито	incognito
9795	протечь	flow, run, leak, ooze, be leaky, elapse, fly, proceed
9796	несочувствие	
9797	судебный	judicial, legal, forensic
9798	франтовской	
9799	рознять	
9800	проследить	spy, trace, track, retrace, trace back, observe
9801	раздвинуть	
9802	сохранять	keep, preserve, retain, maintain
9803	вверить	trust
9804	дость	
9805	зловещий	ominous, sinister, boding ill
9806	злоупотребить	abuse
9807	предварительно	beforehand, preliminarily, as a preliminary
9808	совпасть	coincide, concur
9809	законоположение	statute
9810	подтвердительный	
9811	порасти	become overgrown
9812	загибать	turn up, turn down, bend, exaggerate
9813	классифицировать	classify
9814	антецедент	
9815	неразвитый	
9816	разумность	
9817	простейшее	
9818	допущение	assumption
9819	улика	evidence
9820	репс	rep, reps
9821	сапожок	
9822	ходатайство	application, solicitation, petition, intercession
9823	семнадцатый	seventeenth
9824	благочинный	decent, decorous, rural dean
9825	приходский	parochial, parish
9826	неурожай	bad harvest, failure of crops, crop failure, poor crop
9827	разрешаться	be allowed, be solved, be settled
9828	слепо	blindly, blindfold
9829	сдаваться	surrender, yield, give in, give way
9830	раскол	split, dissidence, schism
9831	руководимый	
9832	бедствовать	live in poverty
9833	шатко	
9834	испросить	obtain, solicit, beg
9835	официально	officially
9836	прогонный	
9837	проехаться	take a drive
9838	содержаться	contain
9839	перекресток	crossroads, crossing; Intersection
9840	настоятельно	
9841	манить	beckon, wave, attract, lure, entice, allure
9842	всовываться	
9843	похлопывать	pat
9844	пробраться	steal; to make one's way in forcibly
9845	репетиция	rehearsal
9846	кулиса	link
9847	коральков	
9848	сообразный	conformable
9849	энтузиаст	enthusiast
9850	либерал	liberal
9851	музыкант	musician
9852	гарнир	garnish, vegetables
9853	раззадоривать	provoke, excite, stir up
9854	стравливать	
9855	грешный	sinful, culpable
9856	посредине	Middle, in the middle; Halfway
9857	секундочка	
9858	нарасти	
9859	последях	
9860	обходительный	pleasant, well-mannered, urbane
9861	инициатива	initiative
9862	специалистка	специали'стка - specialist; специали'стка - expert
9863	муссировать	exaggerate
9864	благоусмотрение	consideration, discretion
9865	запечатывать	seal up
9866	сбирать	
9867	выливаться	run out, flow out, pour out, be expressed, express itself
9868	охнуть	sigh, moan
9869	прерывать	interrupt, cut short, break off
9870	потерпевший	injured, victim
9871	поражение	defeat/lesion hitting, affection
9872	повышение	rise
9873	переделывать	do over again, alter, have altered, re-educate
9874	апельсин	orange, orange-tree
9875	долговушина	
9876	лагер	
9877	разномыслие	difference of opinion mind
9878	полуотвлеченность	
9879	перемешать	mix, intermingle, shuffle, confuse, mix up, knead
9880	поповна	daughter of priest
9881	засадить	
9882	словцо	
9883	отпечатать	
9884	стерлядь	sterlet
9885	заморозить	freeze, anaesthetize
9886	опаздывание	
9887	перезнакомить	acquaint
9888	подсадить	boost, hoist
9889	перемесить	
9890	портвейн	port
9891	обивать	beat, upholster
9892	захлебываться	choke, swallow the wrong way
9893	маскарад	masquerade, fancy ball
9894	заинтриговать	intrigue, scheme, carry on an intrigue
9895	селедка	Herring
9896	ломтик	slice
9897	ассимилировать	assimilate
9898	населить	people, populate, settle, inhabit
9899	ограничение	limitation, restriction
9900	действум	
9901	патриотически	
9902	прожевывать	chew well, masticate well
9903	бицепс	biceps
9904	намазывать	smear, spread, daub
9905	прорывать	break through, breach, tear
9906	мякиш	crumb
9907	отскальзывать	
9908	вполоборота	half-turned, half-face
9909	слог	syllable, style
9910	нематериальный	non-material
9911	густота	thickness, density, richness, deepness
9912	вяло	limply, listlessly, inertly
9913	национализовать	
9914	офранцузиться	
9915	снисхождение	lenience, indulgence, condescension
9916	педагогически	
9917	развивательный	
9918	астрономия	astronomy
9919	ботаник	botanist; nerd
9920	благотворно	beneficially
9921	язва	ulcer, sore, evil, pest, viper
9922	предпочесть	prefer
9923	антинигилизм	
9924	пациент	patient
9925	высыпать	empty, pour out, spill
9926	индифферентный	indifferent
9927	зловредный	harmful, noxious, pernicious
9928	смешиваться	mix, blend
9929	неразрывно	
9930	порабощение	enslavement, enthralment
9931	занимание	
9932	телеграфный	telegraphic, telegraph
9933	сопрячь	
9934	раздражительность	irritability, shortness of temper, petulance
9935	воспитательный	educational, educative
9936	четверка	four, four-in-hand, team of four horses, a four, flight of four aircraft
9937	завязка	string, lace, plot, start, outset
9938	растрепать	tousle, deface
9939	дмитричать	
9940	щекотливый	ticklish, delicate
9941	отклонять	deflect, decline, turn down
9942	казниться	blame oneself, torment oneself
9943	неравно	what if, I should, you should
9944	зашибать	hurt, bruise, knock, drink hard
9945	извинение	pardon, apology, excuse
9946	откланяться	
9947	бесчувственный	insensible, insensitive, unfeeling, callous, hard-hearted, heartless
9948	клеенка	oil-cloth, oilskin, plastic sheet
9949	презреть	despise, hold in contempt, disdain
9950	сопеть	breathe heavily and noisily through the nose
9951	порка	flogging, thrashing, lashing, birching, whipping, strapping, undoing, ripping, unstitching, unpicking
9952	развязываться	get untied, have done, be through
9953	развратить	corrupt, deprave, debauch
9954	ничья	draw, drawn game, tie
9955	неправота	injustice, wrongness
9956	чевовек	
9957	стыдливо	diffidently, bashfully, shyly
9958	хоровой	Adjective of хор, choral
9959	награждать	reward, decorate, award, confer a decoration, endow
9960	давный	
9961	оспорить	contest, dispute, call in question, contend
9962	отпадать	fall off, fall away, break away, pass
9963	многословный	verbose
9964	лаконический	laconic, short-spoken
9965	девство	
9966	исчертить	
9967	л	
9968	опереть	prop up, lean
9969	означаться	
9970	фыгуру	
9971	ут	
9972	ом	ohm
9973	дожить	live so long, live, stay
9974	нннеть	
9975	ицепиться	
9976	ату	
9977	еты	
9978	ой	Oh
9979	душный	stuffy
9980	отчисление	deduction, assignment, dismissal, sending down
9981	проведение	construction, building, laying, installation, carrying out, realization, carrying, adoption
9982	уязвить	sting, wound
9983	победоносно	
9984	заробеть	
9985	ядовито	venomously, maliciously
9986	отчислить	deduct, assign, allot, dismiss, send down
9987	филиация	
9988	азговаривать	
9989	чередова	
9990	асчет	
9991	швея	seamstress
9992	ую	
9993	ака	
9994	потва	
9995	ждение	
9996	ивести	
9997	тепа	
9998	ф	
9999	анцуза	
10000	восторженность	enthusiasm, exaltation
10001	заражаться	catch, be infected
10002	узорчатый	patterned
10003	созвездие	constellation
10004	возничий	
10005	капелла	choir, chapel
10006	мяскин	
10007	возноситься	rise, tower, become conceited, become stuck-up
10008	полотер	floor-polisher
10009	зазвонить	begin to ring
10010	зябнуть	suffer from cold, shiver, freeze
10011	пусто	be empty
10012	выплюнуть	spit out
10013	изъять	withdraw, remove, immobilize, confiscate
10014	сдвинуть	move, push together
10015	посматривать	look
10016	отпорхнуть	
10017	пылинка	speck of dust
10018	печеный	baked
10019	выставиться	
10020	кисловка	
10021	поездить	do a bit of travelling
10022	высунуть	put out, thrust out
10023	док	dock
10024	прра	
10025	осадить	
10026	бесспорный	indisputable, unquestionable, undeniable, self-evident, incontrovertible
10027	задышать	begin to breathe
10028	обмочить	wet, dip
10029	ветреница	anemone
10030	сумбур	confusion, muddle
10031	кондитер	confectioner, pastry-cook
10032	деликатно	delicately
10033	неневинность	
10034	незамеченный	unnoticed
10035	непоправимый	irreparable, irremediable, irretrievable
10036	голубиный	dove-like, dove
10037	неприложение	
10038	ревизия	inspection, revision, revise
10039	фрум	
10040	холить	tend, care for
